distance,fare,fuel_price,mileage,weight,profit
960.94,29927,96.25,14.89,848,15839
331.86,14708,88.8,10.03,15210,7960
1209.7,47024,98.21,7.98,20974,23154
1211.66,36825,104.09,10.11,21919,10088
1058.33,21109,94.84,14.88,1470,7061
558.42,18621,96.01,15.19,6364,9753
1484.34,55650,104.71,10.14,19236,30600
320.42,17240,114.29,6.01,28293,6740
844.25,22946,105.54,14.54,7956,8005
168.93,8512,111.76,9.48,18861,2463
22.16,8210,108.45,8.89,21650,5802
1314.4,47631,103.02,12.38,7975,24897
1144.95,24932,111.36,10.68,16227,918
464.73,9884,114.34,16.73,1832,2537
715.55,21859,95.95,11.6,16539,8205
1492.75,34486,101.14,9.54,19531,5211
111.13,7173,94.87,10.89,18970,4430
1403.59,48389,102.18,11.13,17174,24357
1094.97,32599,117.52,8.05,20234,6080
635.71,19974,95.49,14.46,8428,9893
1453.65,44419,113.46,5.73,27798,4102
401.48,24623,101.65,7.92,23544,14583
1453.22,33535,104.27,10.94,17417,3792
124.77,4097,105.85,14.64,5656,1143
631.74,20269,103.68,11.45,17552,8509
477.68,27141,90.18,8.35,22581,17331
1321.89,52358,99.09,6.18,26390,15237
1226.57,26850,107.9,14.3,9051,7381
1077.83,31261,107.03,13.23,6188,13388
10.3,7921,107.11,7.57,23156,6248
1356.37,31219,113.04,10.78,16413,2095
1348.89,45119,95.49,12.68,6381,22099
1297.59,35069,112.32,7.38,29289,-165
1217.07,43545,111.62,12.13,8077,20713
1194.04,31282,88.71,12.78,6905,11363
1471.82,54357,116.18,9.47,16133,22210
1094.17,30222,106.19,12.87,9479,10661
809.99,23590,110.26,9.31,21611,5561
1081.03,29321,97.28,12.7,9080,12001
1354.69,29062,97.03,9.98,18504,2612
666.03,22605,102.2,15.04,6490,12428
1228.54,30122,108.18,7.65,22559,1602
624.59,21017,93.83,10.28,18930,8925
164.35,6820,93.28,13.1,12812,2719
1003.03,43448,105.86,7.47,29638,17366
1346.33,37816,102.24,7.83,22335,5970
120.84,5240,96.15,12.58,8643,2596
614.36,22626,100.47,9.68,16324,8437
573.67,19070,98.55,16.67,276,9716
334.71,10594,101.08,12.37,6661,5024
935.27,17876,99.82,15.89,906,4754
321.43,14140,110.84,12.35,9873,8505
1499.86,47891,107.5,13.32,10564,22357
193.7,13736,104.92,8.45,20117,8286
1229.86,39183,91.24,4.93,28945,2797
1037.47,40196,91.06,10.53,18855,19902
645.43,25675,103.18,11.8,11180,12624
1062.43,29451,110.01,13.02,13121,10029
406.25,19407,112.92,6.24,25566,7248
1277.17,32971,94.36,15.05,5537,13412
132.99,11691,102.66,9.56,21630,8128
1039.22,30956,105.45,12.83,9256,12599
380.85,12029,93.78,13.62,3708,6027
1465.03,34951,96.49,9.54,15787,10768
1461.57,53135,108.92,9.33,16645,20284
280.62,9715,116.23,15.39,1636,5151
846.45,29585,117.82,11.79,9185,13145
666.87,27939,117.7,6.81,25819,7942
992.34,19575,93.21,13.13,4796,3746
1055.97,38066,108.62,12.71,13676,16511
973.21,27168,112.8,5.63,27262,-2829
1034.57,31268,116.28,8.99,21022,9650
141.53,18119,113.08,6.61,28861,13125
708.4,26766,115.48,8.52,19580,11118
1006.85,34519,97.89,8.0,25746,10891
488.29,27401,100.13,6.34,29109,14310
1135.88,39403,110.8,8.84,18800,13332
915.26,26659,92.75,13.73,7255,9281
1249.05,34595,109.5,11.03,15001,9818
1383.19,37613,114.38,11.99,15296,9001
427.84,13319,105.61,14.49,9027,5711
685.74,21448,93.66,13.35,9721,10130
1218.06,46012,107.91,13.08,11644,25762
1311.91,43648,103.78,11.45,13265,20199
511.15,25394,107.5,10.12,20812,14081
1309.21,44889,90.05,16.0,1173,25068
